Latitude,Longitude,Weight
-0.0225,109.3303,1
-0.2232,-78.5127,18
-0.4373,117.2475,1
-0.95,-80.7162,2
-1.2921,36.8219,3
-12.0333,-77.1333,10
-12.0433,-77.0283,5
-12.0667,-75.2167,4
-12.068,-77.0161,124
-12.15,-77.0167,18
-12.4628,130.8418,1
-13.45,-76.1333,1
-15.4082,28.2872,2
-16.499,-68.1462,1
-16.6777,-49.2676,1
-16.9203,145.7709,1
-18.0176,-70.251,1
-18.477,-70.3145,1
-19.2576,146.8179,1
-19.9191,-43.9386,4
-2.2038,-79.8975,49
-20.0194,-44.0561,1
-20.1653,57.4964,3
-22.3577,-47.3849,1
-22.8808,-43.1043,1
-22.9035,-43.2096,14
-22.9071,-47.0632,4
-23.1791,-45.8872,1
-23.2927,-51.1732,1
-23.4634,-46.5334,8
-23.4855,-51.7927,1
-23.5489,-46.6388,13
-23.8962,29.4486,9
-24.046,-52.3838,1
-24.6541,25.9087,1
-25.2822,-57.6351,2
-25.4284,-49.2733,3
-25.5469,-54.5882,6
-25.7313,28.2184,12
-25.805,28.7464,1
-25.8603,28.1894,7
-25.9992,28.1263,5
-26.0858,27.7773,2
-26.0936,28.0064,5
-26.1,28.2333,2
-26.1076,28.0567,276
-26.1625,27.8725,5
-26.2041,28.0473,27
-26.2125,28.2625,9
-26.2776,27.8482,1
-26.64,153.07,2
-26.6909,27.8265,2
-26.8671,26.658,1
-27.471,153.0235,42
-27.65,27.2333,1
-28.0173,153.4257,4
-28.828,153.2857,1
-29.1183,26.2249,8
-29.6006,30.3794,3
-29.8,31.0333,1
-29.8167,30.85,1
-29.8508,30.9931,3
-29.8579,31.0276,6
-29.9063,-71.2502,1
-3.2665,-79.9538,2
-3.7184,-38.5434,1
-30.0277,-51.2287,3
-31.3989,-64.1821,1
-31.6324,-60.6995,1
-31.953,115.8575,18
-32.0319,-52.0996,1
-32.9267,151.7789,2
-32.9507,-60.6665,3
-33.0456,-71.6204,2
-33.3001,151.1911,2
-33.4691,-70.642,391
-33.645,19.4436,1
-33.7243,18.9559,3
-33.7637,25.3936,2
